rec.motorcycles,20news-bydate-train/rec.motorcycles/104435
rec.sport.baseball,20news-bydate-train/rec.sport.baseball/105012
sci.space,20news-bydate-train/sci.space/61218
talk.religion.misc,20news-bydate-train/talk.religion.misc/83897
comp.sys.mac.hardware,20news-bydate-train/comp.sys.mac.hardware/50533
comp.os.ms-windows.misc,20news-bydate-train/comp.os.ms-windows.misc/9670
alt.atheism,20news-bydate-train/alt.atheism/51219
comp.graphics,20news-bydate-train/comp.graphics/38754
sci.med,20news-bydate-train/sci.med/59014
misc.forsale,20news-bydate-train/misc.forsale/76174
comp.windows.x,20news-bydate-train/comp.windows.x/67185
rec.sport.baseball,20news-bydate-train/rec.sport.baseball/102618
comp.sys.ibm.pc.hardware,20news-bydate-train/comp.sys.ibm.pc.hardware/58905
sci.med,20news-bydate-train/sci.med/59206
talk.politics.guns,20news-bydate-train/talk.politics.guns/54141
talk.politics.guns,20news-bydate-train/talk.politics.guns/54723
soc.religion.christian,20news-bydate-train/soc.religion.christian/20877
rec.motorcycles,20news-bydate-train/rec.motorcycles/104714
talk.religion.misc,20news-bydate-train/talk.religion.misc/83484
comp.sys.mac.hardware,20news-bydate-train/comp.sys.mac.hardware/51623
comp.os.ms-windows.misc,20news-bydate-train/comp.os.ms-windows.misc/9879
rec.sport.hockey,20news-bydate-train/rec.sport.hockey/53758
soc.religion.christian,20news-bydate-train/soc.religion.christian/20746
rec.sport.hockey,20news-bydate-train/rec.sport.hockey/53859
comp.windows.x,20news-bydate-train/comp.windows.x/66910
rec.sport.baseball,20news-bydate-train/rec.sport.baseball/104598
comp.graphics,20news-bydate-train/comp.graphics/38274
talk.politics.guns,20news-bydate-train/talk.politics.guns/54138
misc.forsale,20news-bydate-train/misc.forsale/75878
talk.politics.mideast,20news-bydate-train/talk.politics.mideast/76514
sci.space,20news-bydate-train/sci.space/60773
rec.sport.baseball,20news-bydate-train/rec.sport.baseball/102732
sci.crypt,20news-bydate-train/sci.crypt/15409
sci.space,20news-bydate-train/sci.space/60813
soc.religion.christian,20news-bydate-train/soc.religion.christian/20665
sci.med,20news-bydate-train/sci.med/58111
rec.motorcycles,20news-bydate-train/rec.motorcycles/104312
comp.graphics,20news-bydate-train/comp.graphics/38224
sci.space,20news-bydate-train/sci.space/61153
sci.crypt,20news-bydate-train/sci.crypt/15567
talk.religion.misc,20news-bydate-train/talk.religion.misc/83725
rec.autos,20news-bydate-train/rec.autos/102817
comp.graphics,20news-bydate-train/comp.graphics/38461
comp.sys.ibm.pc.hardware,20news-bydate-train/comp.sys.ibm.pc.hardware/60451
talk.politics.mideast,20news-bydate-train/talk.politics.mideast/75416
comp.sys.ibm.pc.hardware,20news-bydate-train/comp.sys.ibm.pc.hardware/58994
talk.politics.mideast,20news-bydate-train/talk.politics.mideast/76317
comp.sys.ibm.pc.hardware,20news-bydate-train/comp.sys.ibm.pc.hardware/61097
sci.electronics,20news-bydate-train/sci.electronics/52821
misc.forsale,20news-bydate-train/misc.forsale/75870
sci.crypt,20news-bydate-train/sci.crypt/15625
talk.politics.guns,20news-bydate-train/talk.politics.guns/55475
talk.politics.guns,20news-bydate-train/talk.politics.guns/54226
sci.crypt,20news-bydate-train/sci.crypt/15172
sci.crypt,20news-bydate-train/sci.crypt/15494
talk.politics.guns,20news-bydate-train/talk.politics.guns/54408
talk.politics.mideast,20news-bydate-train/talk.politics.mideast/76306
sci.crypt,20news-bydate-train/sci.crypt/15341
talk.religion.misc,20news-bydate-train/talk.religion.misc/83517
comp.sys.ibm.pc.hardware,20news-bydate-train/comp.sys.ibm.pc.hardware/60452
misc.forsale,20news-bydate-train/misc.forsale/74820
sci.crypt,20news-bydate-train/sci.crypt/15911
misc.forsale,20news-bydate-train/misc.forsale/75903
rec.motorcycles,20news-bydate-train/rec.motorcycles/104366
soc.religion.christian,20news-bydate-train/soc.religion.christian/20903
talk.politics.misc,20news-bydate-train/talk.politics.misc/177004
talk.politics.misc,20news-bydate-train/talk.politics.misc/178831
comp.sys.mac.hardware,20news-bydate-train/comp.sys.mac.hardware/51544
soc.religion.christian,20news-bydate-train/soc.religion.christian/21322
comp.windows.x,20news-bydate-train/comp.windows.x/67294
sci.crypt,20news-bydate-train/sci.crypt/15440
talk.politics.guns,20news-bydate-train/talk.politics.guns/54261
rec.autos,20news-bydate-train/rec.autos/101607
comp.sys.mac.hardware,20news-bydate-train/comp.sys.mac.hardware/51500
comp.os.ms-windows.misc,20news-bydate-train/comp.os.ms-windows.misc/9586
talk.politics.misc,20news-bydate-train/talk.politics.misc/176882
rec.motorcycles,20news-bydate-train/rec.motorcycles/104447
comp.os.ms-windows.misc,20news-bydate-train/comp.os.ms-windows.misc/9877
rec.autos,20news-bydate-train/rec.autos/102791
comp.graphics,20news-bydate-train/comp.graphics/38737
talk.politics.guns,20news-bydate-train/talk.politics.guns/54313
sci.crypt,20news-bydate-train/sci.crypt/15171
comp.sys.ibm.pc.hardware,20news-bydate-train/comp.sys.ibm.pc.hardware/60389
rec.autos,20news-bydate-train/rec.autos/103230
soc.religion.christian,20news-bydate-train/soc.religion.christian/20807
comp.sys.ibm.pc.hardware,20news-bydate-train/comp.sys.ibm.pc.hardware/58841
comp.sys.mac.hardware,20news-bydate-train/comp.sys.mac.hardware/51835
rec.motorcycles,20news-bydate-train/rec.motorcycles/104960
soc.religion.christian,20news-bydate-train/soc.religion.christian/20651
talk.politics.guns,20news-bydate-train/talk.politics.guns/54532
comp.sys.mac.hardware,20news-bydate-train/comp.sys.mac.hardware/51898
sci.med,20news-bydate-train/sci.med/58063
comp.graphics,20news-bydate-train/comp.graphics/38685
sci.med,20news-bydate-train/sci.med/58848
misc.forsale,20news-bydate-train/misc.forsale/74745
sci.electronics,20news-bydate-train/sci.electronics/53849
